"dip","noisef","nrange","a","dfend","Lhistory","LStablehistory","nrdatamonitor","Tsim","Tmon","Dsim","Dmon","sn"
-0.5,0,0.1,0.3,12,146,19,1,147,20,2006.47826086957,2006.47826086957,2.99998332146020
-0.5,0,0.1,0.3,12,146,19,2,147,20,2006.47826086957,2006.47826086957,2.99998332146020
-0.5,0,0.1,0.3,12,146,19,3,147,20,2006.47826086957,2006.47826086957,2.99998332146020
-0.5,0,0.1,0.3,12,146,19,4,147,20,2006.47826086957,2006.47826086957,2.99998332146020
-0.5,0,0.1,0.3,12,146,19,5,147,20,2006.47826086957,2006.47826086957,2.99998332146020
-0.5,0,0.1,0.3,12,146,19,6,147,20,2006.47826086957,2006.47826086957,2.99998332146020
-0.4,0,0.1,0.3,12,146,146,1,147,147,2006.47826086957,2006.47826086957,2.30539398135089
-0.4,0,0.1,0.3,12,146,146,2,147,147,2006.47826086957,2006.47826086957,2.30539398135089
-0.4,0,0.1,0.3,12,146,146,3,147,147,2006.47826086957,2006.47826086957,2.30539398135089
-0.4,0,0.1,0.3,12,146,146,4,147,147,2006.47826086957,2006.47826086957,2.30539398135089
-0.4,0,0.1,0.3,12,146,146,5,147,147,2006.47826086957,2006.47826086957,2.30539398135089
-0.4,0,0.1,0.3,12,146,146,6,147,147,2006.47826086957,2006.47826086957,2.30539398135089
-0.3,0,0.1,0.3,12,146,146,1,147,NA,2006.47826086957,NA,2.32200557742019
-0.3,0,0.1,0.3,12,146,146,2,147,148,2006.47826086957,2006.52173913043,2.32200557742019
-0.3,0,0.1,0.3,12,146,146,3,147,148,2006.47826086957,2006.52173913043,2.32200557742019
-0.3,0,0.1,0.3,12,146,146,4,147,148,2006.47826086957,2006.52173913043,2.32200557742019
-0.3,0,0.1,0.3,12,146,146,5,147,148,2006.47826086957,2006.52173913043,2.32200557742019
-0.3,0,0.1,0.3,12,146,146,6,147,148,2006.47826086957,2006.52173913043,2.32200557742019
-0.2,0,0.1,0.3,12,146,146,1,147,NA,2006.47826086957,NA,1.87687250206415
