"dip","noisef","nrange","a","dfend","Lhistory","LStablehistory","nrdatamonitor","Tsim","Tmon","Dsim","Dmon","sn"
-0.5,0,0.1,0.1,12,146,146,1,147,147,2006.47826086957,2006.47826086957,1.0164229779329
-0.5,0,0.1,0.1,12,146,146,2,147,147,2006.47826086957,2006.47826086957,1.0164229779329
-0.5,0,0.1,0.1,12,146,146,3,147,147,2006.47826086957,2006.47826086957,1.0164229779329
-0.5,0,0.1,0.1,12,146,146,4,147,147,2006.47826086957,2006.47826086957,1.0164229779329
-0.5,0,0.1,0.1,12,146,146,5,147,147,2006.47826086957,2006.47826086957,1.0164229779329
-0.5,0,0.1,0.1,12,146,146,6,147,147,2006.47826086957,2006.47826086957,1.0164229779329
-0.4,0,0.1,0.1,12,146,146,1,147,147,2006.47826086957,2006.47826086957,0.999606886827862
-0.4,0,0.1,0.1,12,146,146,2,147,147,2006.47826086957,2006.47826086957,0.999606886827862
-0.4,0,0.1,0.1,12,146,146,3,147,147,2006.47826086957,2006.47826086957,0.999606886827862
-0.4,0,0.1,0.1,12,146,146,4,147,147,2006.47826086957,2006.47826086957,0.999606886827862
-0.4,0,0.1,0.1,12,146,146,5,147,147,2006.47826086957,2006.47826086957,0.999606886827862
-0.4,0,0.1,0.1,12,146,146,6,147,147,2006.47826086957,2006.47826086957,0.999606886827862
-0.3,0,0.1,0.1,12,146,146,1,147,NA,2006.47826086957,NA,0.999994440486744
-0.3,0,0.1,0.1,12,146,146,2,147,148,2006.47826086957,2006.52173913043,0.999994440486744
-0.3,0,0.1,0.1,12,146,146,3,147,148,2006.47826086957,2006.52173913043,0.999994440486744
-0.3,0,0.1,0.1,12,146,146,4,147,148,2006.47826086957,2006.52173913043,0.999994440486744
-0.3,0,0.1,0.1,12,146,146,5,147,148,2006.47826086957,2006.52173913043,0.999994440486744
-0.3,0,0.1,0.1,12,146,146,6,147,148,2006.47826086957,2006.52173913043,0.999994440486744
-0.2,0,0.1,0.1,12,146,146,1,147,NA,2006.47826086957,NA,0.685524927245724
-0.2,0,0.1,0.1,12,146,146,2,147,NA,2006.47826086957,NA,0.685524927245724
-0.2,0,0.1,0.1,12,146,146,3,147,149,2006.47826086957,2006.56521739130,0.685524927245724
-0.2,0,0.1,0.1,12,146,146,4,147,149,2006.47826086957,2006.56521739130,0.685524927245724
-0.2,0,0.1,0.1,12,146,146,5,147,149,2006.47826086957,2006.56521739130,0.685524927245724
-0.2,0,0.1,0.1,12,146,146,6,147,149,2006.47826086957,2006.56521739130,0.685524927245724
-0.1,0,0.1,0.1,12,146,146,1,147,NA,2006.47826086957,NA,0.999994440486708
-0.1,0,0.1,0.1,12,146,146,2,147,NA,2006.47826086957,NA,0.999994440486708
-0.1,0,0.1,0.1,12,146,146,3,147,NA,2006.47826086957,NA,0.999994440486708
-0.1,0,0.1,0.1,12,146,146,4,147,NA,2006.47826086957,NA,0.999994440486708
-0.1,0,0.1,0.1,12,146,146,5,147,151,2006.47826086957,2006.65217391304,0.999994440486708
-0.1,0,0.1,0.1,12,146,146,6,147,151,2006.47826086957,2006.65217391304,0.999994440486708
0,0,0.1,0.1,12,146,146,1,147,NA,2006.47826086957,NA,0.999994440486751
0,0,0.1,0.1,12,146,146,2,147,NA,2006.47826086957,NA,0.999994440486751
0,0,0.1,0.1,12,146,146,3,147,NA,2006.47826086957,NA,0.999994440486751
0,0,0.1,0.1,12,146,146,4,147,NA,2006.47826086957,NA,0.999994440486751
0,0,0.1,0.1,12,146,146,5,147,NA,2006.47826086957,NA,0.999994440486751
0,0,0.1,0.1,12,146,146,6,147,NA,2006.47826086957,NA,0.999994440486751
-0.5,0.5,0.11,0.1,12,146,146,1,147,147,2006.47826086957,2006.47826086957,0.941563660473313
-0.5,0.5,0.11,0.1,12,146,146,2,147,147,2006.47826086957,2006.47826086957,0.941563660473313
-0.5,0.5,0.11,0.1,12,146,146,3,147,147,2006.47826086957,2006.47826086957,0.941563660473313
-0.5,0.5,0.11,0.1,12,146,146,4,147,147,2006.47826086957,2006.47826086957,0.941563660473313
-0.5,0.5,0.11,0.1,12,146,146,5,147,147,2006.47826086957,2006.47826086957,0.941563660473313
-0.5,0.5,0.11,0.1,12,146,146,6,147,147,2006.47826086957,2006.47826086957,0.941563660473313
-0.4,0.5,0.1119,0.1,12,146,146,1,147,147,2006.47826086957,2006.47826086957,0.65354740155342
