"dip","noisef","nrange","a","dfend","Lhistory","LStablehistory","nrdatamonitor","Tsim","Tmon","Dsim","Dmon","sn"
-0.5,0,0.1,0.1,12,146,146,1,147,147,2006.47826086957,2006.47826086957,0.999994440486741
-0.5,0,0.1,0.1,12,146,146,2,147,147,2006.47826086957,2006.47826086957,0.999994440486741
-0.5,0,0.1,0.1,12,146,146,3,147,147,2006.47826086957,2006.47826086957,0.999994440486741
-0.5,0,0.1,0.1,12,146,146,4,147,147,2006.47826086957,2006.47826086957,0.999994440486741
-0.5,0,0.1,0.1,12,146,146,5,147,147,2006.47826086957,2006.47826086957,0.999994440486741
-0.5,0,0.1,0.1,12,146,146,6,147,147,2006.47826086957,2006.47826086957,0.999994440486741
-0.4,0,0.1,0.1,12,146,146,1,147,NA,2006.47826086957,NA,1.00143004687369
-0.4,0,0.1,0.1,12,146,146,2,147,148,2006.47826086957,2006.52173913043,1.00143004687369
-0.4,0,0.1,0.1,12,146,146,3,147,148,2006.47826086957,2006.52173913043,1.00143004687369
-0.4,0,0.1,0.1,12,146,146,4,147,148,2006.47826086957,2006.52173913043,1.00143004687369
-0.4,0,0.1,0.1,12,146,146,5,147,148,2006.47826086957,2006.52173913043,1.00143004687369
-0.4,0,0.1,0.1,12,146,146,6,147,148,2006.47826086957,2006.52173913043,1.00143004687369
-0.3,0,0.1,0.1,12,146,146,1,147,NA,2006.47826086957,NA,0.999960931412185
-0.3,0,0.1,0.1,12,146,146,2,147,148,2006.47826086957,2006.52173913043,0.999960931412185
-0.3,0,0.1,0.1,12,146,146,3,147,148,2006.47826086957,2006.52173913043,0.999960931412185
-0.3,0,0.1,0.1,12,146,146,4,147,148,2006.47826086957,2006.52173913043,0.999960931412185
-0.3,0,0.1,0.1,12,146,146,5,147,148,2006.47826086957,2006.52173913043,0.999960931412185
-0.3,0,0.1,0.1,12,146,146,6,147,148,2006.47826086957,2006.52173913043,0.999960931412185
-0.2,0,0.1,0.1,12,146,146,1,147,NA,2006.47826086957,NA,0.999994440486746
-0.2,0,0.1,0.1,12,146,146,2,147,148,2006.47826086957,2006.52173913043,0.999994440486746
-0.2,0,0.1,0.1,12,146,146,3,147,148,2006.47826086957,2006.52173913043,0.999994440486746
-0.2,0,0.1,0.1,12,146,146,4,147,148,2006.47826086957,2006.52173913043,0.999994440486746
-0.2,0,0.1,0.1,12,146,146,5,147,148,2006.47826086957,2006.52173913043,0.999994440486746
-0.2,0,0.1,0.1,12,146,146,6,147,148,2006.47826086957,2006.52173913043,0.999994440486746
-0.1,0,0.1,0.1,12,146,146,1,147,NA,2006.47826086957,NA,1.02397085423521
-0.1,0,0.1,0.1,12,146,146,2,147,NA,2006.47826086957,NA,1.02397085423521
-0.1,0,0.1,0.1,12,146,146,3,147,NA,2006.47826086957,NA,1.02397085423521
-0.1,0,0.1,0.1,12,146,146,4,147,150,2006.47826086957,2006.60869565217,1.02397085423521
-0.1,0,0.1,0.1,12,146,146,5,147,150,2006.47826086957,2006.60869565217,1.02397085423521
-0.1,0,0.1,0.1,12,146,146,6,147,150,2006.47826086957,2006.60869565217,1.02397085423521
0,0,0.1,0.1,12,146,146,1,147,NA,2006.47826086957,NA,0.946826595822797
0,0,0.1,0.1,12,146,146,2,147,NA,2006.47826086957,NA,0.946826595822797
0,0,0.1,0.1,12,146,146,3,147,NA,2006.47826086957,NA,0.946826595822797
0,0,0.1,0.1,12,146,146,4,147,NA,2006.47826086957,NA,0.946826595822797
0,0,0.1,0.1,12,146,146,5,147,NA,2006.47826086957,NA,0.946826595822797
0,0,0.1,0.1,12,146,146,6,147,NA,2006.47826086957,NA,0.946826595822797
-0.5,0.5,0.119,0.1,12,146,146,1,147,147,2006.47826086957,2006.47826086957,0.902700376571167
